name trial difficulty fixations accuracy phase hit group
control2 91 710 1 69 training false control
control2 92 710 1 16 training true control
control2 93 710 3 50 training true control
control2 94 710 13 18 training true control
control2 95 710 3 44 training true control
control2 96 710 1 20 training true control
control2 97 710 3 8 training true control
control2 98 700 1 26 training true control
control2 99 700 6 48 training true control
control2 100 700 9 57 training true control
control2 101 700 4 270 training false control
control2 102 700 3 59 training true control
control2 103 700 1 28 training true control
control2 104 700 9 27 training true control
control2 105 700 4 9 training true control
control2 106 700 15 274 training false control
control2 107 700 7 3 training true control
control2 108 700 2 12 training true control
control2 109 700 6 457 training false control
control2 110 700 1 20 training true control
control2 111 700 6 42 training true control
control2 112 700 1 431 training false control
control2 113 700 3 25 training true control
control2 114 700 4 53 training true control
control2 115 700 1 7 training true control
control2 116 690 1 58 training true control
control2 117 690 10 29 training true control
control2 118 690 3 46 training true control
control2 119 690 4 29 training true control
control2 120 690 2 51 training true control
control2 121 679 9 34 training true control
control2 122 679 10 25 training true control
control2 123 679 2 28 training true control
control2 124 679 1 9 training true control
control2 125 679 1 6 training true control
control2 126 669 10 13 training true control
control2 127 669 1 32 training true control
control2 128 669 7 29 training true control
control2 129 669 9 61 training false control
control2 130 669 6 25 training true control
control2 131 669 1 31 training true control
control2 132 669 8 32 training true control
control2 133 669 8 7 training true control
control2 134 669 8 61 training false control
control2 135 679 4 23 training true control
control2 136 679 8 20 training true control
control2 137 679 12 9 training true control
control2 138 679 17 27 training true control
control2 139 690 2 60 training true control
control2 140 690 2 2 training true control
control2 141 690 14 48 training true control
control2 142 690 3 12 training true control
control2 143 690 5 30 training true control
control2 144 690 17 37 training true control
control2 145 690 2 24 training true control
control2 146 690 11 33 training true control
control2 147 690 11 28 training true control
control2 148 690 8 52 training true control
control2 149 700 5 29 training true control
control2 150 700 5 13 training true control
control2 151 700 4 43 training true control
control2 152 690 4 126 training false control
control2 153 690 2 31 training true control
control2 154 690 1 20 training true control
control2 155 690 7 16 training true control
control2 156 690 4 29 training true control
control2 157 690 1 50 training true control
control2 158 690 4 13 training true control
control2 159 679 2 11 training true control
control2 160 679 7 38 training true control
control2 161 700 5 27 after true control
control2 162 700 9 50 after true control
control2 163 700 2 18 after true control
control2 164 700 6 38 after true control
control2 165 700 7 42 after true control
control2 166 700 7 25 after true control
control2 167 700 3 38 after true control
control2 168 700 15 38 after true control
control2 169 700 3 21 after true control
control2 170 700 12 16 after true control
control2 171 700 2 27 after true control
control2 172 700 2 32 after true control
control2 173 700 5 25 after true control
control2 174 690 2 28 after true control
control2 175 690 4 24 after true control
control2 176 690 4 17 after true control
control2 177 679 7 20 after true control
control2 178 679 5 13 after true control
